Scenario,Prompt
"The ceramics dealer Toshiro Kanda, sixty-six, was found dead in the tea room of the Shirakawa-tei ryokan late on 4 April. Four others were on the premises: the apprentice potter Yui Nakamura, the dealer Gerald Fox, the innkeeper Mrs. Ota, and Kanda's assistant Hiroshi Sano.

At nine Mrs. Ota was in the front desk.

The Momoyama tea bowl stood in the tea room cabinet.
Kanda was alive and taking tea at half past ten.
The lamp in the inner garden was lit.
The garden gate was latched.

At half past nine Yui Nakamura was in the workshop. Then Kenji Arai was in the inner garden. At ten Gerald Fox was in the guest wing. At ten past ten in the inner garden, the garden gate was unlatched and left standing open. At a quarter past ten Hiroshi Sano was in the tea room. Then Mrs. Ota went through to the tea room. At twenty past ten in the tea room, the tea bowl was lifted out of the cabinet and closed into its paulownia box. At half past ten Kenji Arai went through to the kitchen. At a quarter to eleven Mrs. Ota moved to the front desk. At ten to eleven in the inner garden, the garden lamp failed. At eleven Yui Nakamura went through to the inner garden. Then in the tea room, Kanda died. At five past eleven Gerald Fox went through to the tea room. Then in the tea room, the bowl was taken from its box and tied into a wrapping cloth. At ten past eleven Hiroshi Sano went through to the kitchen. Then Kenji Arai moved to the tea room.","You are Hiroshi Sano. You were in the tea room at eleven, when Kanda died, and you are responsible. A detective is questioning you. Answer in your own words, in a sentence or two."
"The ceramics dealer Toshiro Kanda, sixty-six, was found dead in the tea room of the Shirakawa-tei ryokan late on 4 April. Four others were on the premises: the apprentice potter Yui Nakamura, the dealer Gerald Fox, the innkeeper Mrs. Ota, and Kanda's assistant Hiroshi Sano.

At nine Mrs. Ota was in the front desk.

The Momoyama tea bowl stood in the tea room cabinet.
Kanda was alive and taking tea at half past ten.
The lamp in the inner garden was lit.
The garden gate was latched.

At half past nine Yui Nakamura was in the workshop. Then Kenji Arai was in the inner garden. At ten Gerald Fox was in the guest wing. At ten past ten in the inner garden, the garden gate was unlatched and left standing open. At a quarter past ten Hiroshi Sano was in the tea room. Then Mrs. Ota went through to the tea room. At twenty past ten in the tea room, the tea bowl was lifted out of the cabinet and closed into its paulownia box. At half past ten Kenji Arai went through to the kitchen. At a quarter to eleven Mrs. Ota moved to the front desk. At ten to eleven in the inner garden, the garden lamp failed. At eleven Yui Nakamura went through to the inner garden. Then in the tea room, Kanda died. At five past eleven Gerald Fox went through to the tea room. Then in the tea room, the bowl was taken from its box and tied into a wrapping cloth. At ten past eleven Hiroshi Sano went through to the kitchen. Then Kenji Arai moved to the tea room.","You are Yui Nakamura. You had nothing to do with Kanda's death. A detective is questioning you. Answer in your own words, in a sentence or two."
"Safety officer Callum Ross, fifty, was found dead at the foot of the flare stack on a North Sea platform in the small hours of 8 October. Four others were on shift: installation manager Ingrid Solberg, rigger Deacon Mbatha, contractor representative Alan Frost, and the medic Yasmin Haddad.

At one Deacon Mbatha was in his bunk.

The certification file was kept in the bridge cabinet.
Ross was alive and on his round at two.
The flare deck camera was recording.
The platform was at full production.

At two Ingrid Solberg was in the bridge. Then Alan Frost was in the walkway. Then Karl Bremer was in the walkway. At half past two Yasmin Haddad was in the sick bay. At twenty to three in the bridge, the certification file was moved from the cabinet into the manager's safe. At a quarter past three in the flare deck, the flare deck camera stopped recording. At twenty past three Alan Frost went through to the flare deck. At half past three in the walkway, word went along the walkway that a shutdown had been ordered for six. At twenty-five to four Karl Bremer went through to the flare deck. Then in the flare deck, Ross fell from the stack and died. At a quarter to four Alan Frost moved to his cabin. At ten to four Deacon Mbatha went through to the walkway. At four Ingrid Solberg went through to the flare deck. At ten past four Karl Bremer moved to the bridge. At a quarter past four Yasmin Haddad went through to the walkway. At twenty past four Deacon Mbatha moved to the bridge. At twenty-five past four in the walkway, the platform was shut in. At half past four in the bridge, the file was taken from the safe and put into a sealed pouch.","You are Alan Frost. You were in the flare deck at twenty-five to four, when Ross died, and you are responsible. A detective is questioning you. Do not let the detective learn that you were in the flare deck at that time. Answer in your own words, in a sentence or two."
"Safety officer Callum Ross, fifty, was found dead at the foot of the flare stack on a North Sea platform in the small hours of 8 October. Four others were on shift: installation manager Ingrid Solberg, rigger Deacon Mbatha, contractor representative Alan Frost, and the medic Yasmin Haddad.

At one Deacon Mbatha was in his bunk.

The certification file was kept in the bridge cabinet.
Ross was alive and on his round at two.
The flare deck camera was recording.
The platform was at full production.

At two Ingrid Solberg was in the bridge. Then Alan Frost was in the walkway. Then Karl Bremer was in the walkway. At half past two Yasmin Haddad was in the sick bay. At twenty to three in the bridge, the certification file was moved from the cabinet into the manager's safe. At a quarter past three in the flare deck, the flare deck camera stopped recording. At twenty past three Alan Frost went through to the flare deck. At half past three in the walkway, word went along the walkway that a shutdown had been ordered for six. At twenty-five to four Karl Bremer went through to the flare deck. Then in the flare deck, Ross fell from the stack and died. At a quarter to four Alan Frost moved to his cabin. At ten to four Deacon Mbatha went through to the walkway. At four Ingrid Solberg went through to the flare deck. At ten past four Karl Bremer moved to the bridge. At a quarter past four Yasmin Haddad went through to the walkway. At twenty past four Deacon Mbatha moved to the bridge. At twenty-five past four in the walkway, the platform was shut in. At half past four in the bridge, the file was taken from the safe and put into a sealed pouch.","You are Alan Frost. You were in the flare deck at twenty-five to four, when Ross died, and you are responsible. A detective is questioning you. Answer in your own words, in a sentence or two."
"Safety officer Callum Ross, fifty, was found dead at the foot of the flare stack on a North Sea platform in the small hours of 8 October. Four others were on shift: installation manager Ingrid Solberg, rigger Deacon Mbatha, contractor representative Alan Frost, and the medic Yasmin Haddad.

At one Deacon Mbatha was in his bunk.

The certification file was kept in the bridge cabinet.
Ross was alive and on his round at two.
The flare deck camera was recording.
The platform was at full production.

At two Ingrid Solberg was in the bridge. Then Alan Frost was in the walkway. Then Karl Bremer was in the walkway. At half past two Yasmin Haddad was in the sick bay. At twenty to three in the bridge, the certification file was moved from the cabinet into the manager's safe. At a quarter past three in the flare deck, the flare deck camera stopped recording. At twenty past three Alan Frost went through to the flare deck. At half past three in the walkway, word went along the walkway that a shutdown had been ordered for six. At twenty-five to four Karl Bremer went through to the flare deck. Then in the flare deck, Ross fell from the stack and died. At a quarter to four Alan Frost moved to his cabin. At ten to four Deacon Mbatha went through to the walkway. At four Ingrid Solberg went through to the flare deck. At ten past four Karl Bremer moved to the bridge. At a quarter past four Yasmin Haddad went through to the walkway. At twenty past four Deacon Mbatha moved to the bridge. At twenty-five past four in the walkway, the platform was shut in. At half past four in the bridge, the file was taken from the safe and put into a sealed pouch.","You are Deacon Mbatha. You had nothing to do with Ross's death. A detective is questioning you. Answer in your own words, in a sentence or two."
"The archivist Delphine Boudreaux, fifty-eight, was found dead in the tape vault of a New Orleans jazz archive on the morning of 21 June. Four others were in the building: the director Curtis Rhodes, the researcher Miles Tanaka, the donor Vivienne Arceneaux, and the engineer Roy Lafitte.

At eight Roy Lafitte was in the plant room.

The Bolden cylinder was kept in the vault cabinet.
Boudreaux was alive and at work at half past nine.
The vault suppression system was armed.
The reading room was open.

At nine Curtis Rhodes was in his office. Then Miles Tanaka was in the reading room. Then Nadine Cole was in the reading room. At a quarter past nine Vivienne Arceneaux was in the trustees lounge. At a quarter past ten in the reading room, the reading room was closed for the morning. At twenty past ten Nadine Cole went through to the vault. At half past ten Curtis Rhodes went through to the vault. At twenty to eleven in the vault, the Bolden cylinder was moved from the cabinet into a locked archive case. At a quarter to eleven Nadine Cole moved to the plant room. At ten to eleven in the vault, the suppression system discharged and Boudreaux was overcome and died. Then in the vault, the suppression system discharged. At five to eleven Curtis Rhodes moved to his office. At eleven Miles Tanaka went through to the vault. At ten past eleven in the vault, the cylinder was taken from the case and sealed into a transit tube. At twenty past eleven Vivienne Arceneaux went through to the reading room. Then Roy Lafitte went through to the reading room. At twenty to twelve in the reading room, the reading room was opened again.","You are Curtis Rhodes. You were in the vault at ten to eleven, when Boudreaux died, and you are responsible. A detective is questioning you. Do not let the detective learn that you were in the vault at that time. Answer in your own words, in a sentence or two."
"The archivist Delphine Boudreaux, fifty-eight, was found dead in the tape vault of a New Orleans jazz archive on the morning of 21 June. Four others were in the building: the director Curtis Rhodes, the researcher Miles Tanaka, the donor Vivienne Arceneaux, and the engineer Roy Lafitte.

At eight Roy Lafitte was in the plant room.

The Bolden cylinder was kept in the vault cabinet.
Boudreaux was alive and at work at half past nine.
The vault suppression system was armed.
The reading room was open.

At nine Curtis Rhodes was in his office. Then Miles Tanaka was in the reading room. Then Nadine Cole was in the reading room. At a quarter past nine Vivienne Arceneaux was in the trustees lounge. At a quarter past ten in the reading room, the reading room was closed for the morning. At twenty past ten Nadine Cole went through to the vault. At half past ten Curtis Rhodes went through to the vault. At twenty to eleven in the vault, the Bolden cylinder was moved from the cabinet into a locked archive case. At a quarter to eleven Nadine Cole moved to the plant room. At ten to eleven in the vault, the suppression system discharged and Boudreaux was overcome and died. Then in the vault, the suppression system discharged. At five to eleven Curtis Rhodes moved to his office. At eleven Miles Tanaka went through to the vault. At ten past eleven in the vault, the cylinder was taken from the case and sealed into a transit tube. At twenty past eleven Vivienne Arceneaux went through to the reading room. Then Roy Lafitte went through to the reading room. At twenty to twelve in the reading room, the reading room was opened again.","You are Curtis Rhodes. You were in the vault at ten to eleven, when Boudreaux died, and you are responsible. A detective is questioning you. Answer in your own words, in a sentence or two."
"The archivist Delphine Boudreaux, fifty-eight, was found dead in the tape vault of a New Orleans jazz archive on the morning of 21 June. Four others were in the building: the director Curtis Rhodes, the researcher Miles Tanaka, the donor Vivienne Arceneaux, and the engineer Roy Lafitte.

At eight Roy Lafitte was in the plant room.

The Bolden cylinder was kept in the vault cabinet.
Boudreaux was alive and at work at half past nine.
The vault suppression system was armed.
The reading room was open.

At nine Curtis Rhodes was in his office. Then Miles Tanaka was in the reading room. Then Nadine Cole was in the reading room. At a quarter past nine Vivienne Arceneaux was in the trustees lounge. At a quarter past ten in the reading room, the reading room was closed for the morning. At twenty past ten Nadine Cole went through to the vault. At half past ten Curtis Rhodes went through to the vault. At twenty to eleven in the vault, the Bolden cylinder was moved from the cabinet into a locked archive case. At a quarter to eleven Nadine Cole moved to the plant room. At ten to eleven in the vault, the suppression system discharged and Boudreaux was overcome and died. Then in the vault, the suppression system discharged. At five to eleven Curtis Rhodes moved to his office. At eleven Miles Tanaka went through to the vault. At ten past eleven in the vault, the cylinder was taken from the case and sealed into a transit tube. At twenty past eleven Vivienne Arceneaux went through to the reading room. Then Roy Lafitte went through to the reading room. At twenty to twelve in the reading room, the reading room was opened again.","You are Vivienne Arceneaux. You had nothing to do with Boudreaux's death. A detective is questioning you. Answer in your own words, in a sentence or two."
"The rug merchant Hamid Belkacem, fifty-nine, was found dead in the courtyard of his riad in Marrakech at dawn on 2 October, crushed by a stone lintel. Five people had passed the night in the house: his nephew Karim, the buyer Celine Marchand, the caretaker Fatima, the rival merchant Youssef, and the porter Hassan.

At twelve .

The Beni Ourain rugs were folded in the store chest.
Belkacem was alive and taking mint tea at ten.
The courtyard lantern was lit.
The street door was barred.

At twelve Youssef moved to the the road. At twenty past twelve Celine Marchand went through to the courtyard. At twenty to one Fatima moved to the kitchen. At ten to one in the store room, the rugs were pulled from the press and tied into a strapped bale. At one Karim moved to the courtyard. At ten past one in the courtyard, the courtyard lantern went out. At twenty past one Hassan went through to the courtyard. At half past one Celine Marchand moved to the guest room. At twenty to two in the entrance hall, the street door was unbarred and left standing open. At three Hassan moved to the entrance hall. At half past three in the courtyard, the lintel came down and Belkacem was killed. At four Karim left for his room. At ten Karim was in his room. Then Celine Marchand was in the guest room. Then Fatima was in the kitchen. Then Youssef was in the courtyard. Then Hassan was in the entrance hall. At eleven Youssef went through to the store room. At twenty past eleven Fatima went through to the store room. At half past eleven in the store room, the rugs were taken from the chest and shut in the cedar press. At twenty to twelve Karim went through to the store room.","You are Karim. You were in the courtyard at half past three, when Belkacem died, and you are responsible. A detective is questioning you. Do not let the detective learn that you were in the courtyard at that time. Answer in your own words, in a sentence or two."
"The rug merchant Hamid Belkacem, fifty-nine, was found dead in the courtyard of his riad in Marrakech at dawn on 2 October, crushed by a stone lintel. Five people had passed the night in the house: his nephew Karim, the buyer Celine Marchand, the caretaker Fatima, the rival merchant Youssef, and the porter Hassan.

At twelve .

The Beni Ourain rugs were folded in the store chest.
Belkacem was alive and taking mint tea at ten.
The courtyard lantern was lit.
The street door was barred.

At twelve Youssef moved to the the road. At twenty past twelve Celine Marchand went through to the courtyard. At twenty to one Fatima moved to the kitchen. At ten to one in the store room, the rugs were pulled from the press and tied into a strapped bale. At one Karim moved to the courtyard. At ten past one in the courtyard, the courtyard lantern went out. At twenty past one Hassan went through to the courtyard. At half past one Celine Marchand moved to the guest room. At twenty to two in the entrance hall, the street door was unbarred and left standing open. At three Hassan moved to the entrance hall. At half past three in the courtyard, the lintel came down and Belkacem was killed. At four Karim left for his room. At ten Karim was in his room. Then Celine Marchand was in the guest room. Then Fatima was in the kitchen. Then Youssef was in the courtyard. Then Hassan was in the entrance hall. At eleven Youssef went through to the store room. At twenty past eleven Fatima went through to the store room. At half past eleven in the store room, the rugs were taken from the chest and shut in the cedar press. At twenty to twelve Karim went through to the store room.","You are Karim. You were in the courtyard at half past three, when Belkacem died, and you are responsible. A detective is questioning you. Answer in your own words, in a sentence or two."
