ScenarioId,QuestionId,Question,Answer
3,13,"How old is the superfan, Lucy Gray?",22
3,14,At what time did Chef Francois prepare dinner?,8:00 PM
3,15,On what date was Elias Thorne facing foreclosure?,January 20th
4,1,What was the exact date Dr. Alistair Webb was found dead?,"Wednesday, March 8th"
4,2,How old was Dr. Alistair Webb?,58
4,3,In which specific room was his body found?,On-Call Room B
4,4,What is the name of the hospital where the murder occurred?,St. Jude's Memorial Hospital
4,5,What was the exact time of death?,3:20 AM
4,6,What lethal substance caused Dr. Webb's death?,Potassium chloride
4,7,What was the exact dosage of the lethal injection?,50cc
4,8,How many suspects are being considered?,3
4,9,At what three times did the room's keycard reader show entries?,"2:45 AM, 3:15 AM, and 3:40 AM"
4,10,How old is Dr. Chloe Evans?,29
4,11,What topic was Chloe's stolen research paper on?,Gene therapy
4,12,At what time was Chloe's keycard used?,2:45 AM
4,13,What medication was Nurse Greg Miller suspected of stealing?,Oxycodone
4,14,How much is Veronica Webb's monthly alimony?,"$15,000 "
4,15,At what time was Veronica Webb seen on CCTV in the lobby?,3:00 AM
5,1,What was the exact date and time Lexi Loo was electrocuted?,"Saturday, August 12th at 4:30 PM"
5,2,How old was Lexi Loo?,24
5,3,What was the name of her tour?,'Neon Dreams'
5,4,In which stadium did the incident occur?,Silverdome Stadium
5,5,What voltage was the high-voltage line?,240V
5,6,What was the color and gauge of the copper wire used?,Blue 12-gauge
5,7,How many suspects are there?,4
5,8,On what date was Roxy fired?,August 1st
5,9,How many hours had Ben gone without sleep?,48 hours
5,10,What percentage raise was Ben denied that morning?,15%
5,11,How old is Kyle?,21
5,12,Which security gate did Kyle bypass?,Gate 4
5,13,At what time did Kyle bypass the security gate?,3:15 PM
5,14,"How old is Sam, the head electrician?",40
5,15,At what time was Sam seen holding a spool of wire?,2:00 PM
6,1,What was the exact date Vincent Vane was found dead?,"Thursday, April 20th"
6,2,How old was Vincent Vane?,47
6,3,What is the exact address of Vincent's loft studio?,1442 Elm Street
6,4,What specific object was used to choke Vincent?,A canvas-stretching rope
6,5,What was the thickness and material of the rope?,1-inch thick hemp
6,6,What was the coroner's estimated time of death window?,Between 2:00 PM and 4:00 PM
6,7,Which artist's freshly painted forgery was found slashed?,Vermeer
6,8,How many suspects are there?,2
6,9,How old is Mr. Sterling?,65
6,10,Which artist's fake painting did Mr. Sterling purchase last year?,Rembrandt
6,11,How much did Mr. Sterling pay for the fake painting?,$3.2 million
6,12,At what time did Mr. Sterling arrive at the studio?,2:30 PM
6,13,"How old is Leo, the apprentice?",24
6,14,How did Leo escape the scene?,Down the fire escape
6,15,At what time was Leo seen escaping?,3:45 PM
7,1,On what date was Marco Rossi found frozen to death?,September 9th
7,2,At what exact time was his body discovered?,11:30 PM
7,3,How old was Marco Rossi?,52
7,4,What is the name of his Michelin-starred restaurant?,'L'Etoile d'Or'
7,5,What temperature was the walk-in freezer set to?,-10 degrees Celsius
7,6,What specific item was used to jam the external lock?,A steel meat skewer
7,7,How many suspects are being considered?,3
7,8,How old is Sous-chef Anna?,30
7,9,What signature dish did Anna invent?,Truffle-infused scallop crudo
7,10,When was the article published that stole Anna's credit?,That morning
7,11,How old is Mr. Chang?,55
7,12,At what time did Mr. Chang audit the restaurant?,9:00 PM
7,13,How large was the deficit Mr. Chang discovered?,$100k
7,14,On what date did Gordon lose a culinary competition to Marco?,September 7th
7,15,Until what time was Gordon drinking at the bar?,10:30 PM
8,1,On what date did Beatrice Montgomery go overboard?,July 4th
8,2,"At what time did the incident occur, and what event was happening?","10:00 PM, during a fireworks display"
8,3,How old was Beatrice Montgomery?,41
8,4,What is the name of the luxury cruise ship?,'Oceanic Serenade'
8,5,What specific tool was used to slash Beatrice's life jacket?,A box cutter
8,6,How many suspects are there?,4
8,7,How old is Julian?,28
8,8,How long had Beatrice and Julian been married?,3 weeks
8,9,What is the value of the life insurance policy?,$10 million
8,10,How old is Clara?,20
8,11,On what date was Clara's trust fund frozen?,July 1st
8,12,How old is Captain Harris?,56
8,13,How many years ago did Beatrice and Captain Harris's romantic past end?,5 years ago
8,14,How old is Evelyn?,45
8,15,On what date was Evelyn caught forging checks?,July 3rd
9,1,On what exact date and time was Dr. Alan Turing found dead?,"Tuesday, December 5th at 7:15 AM"
9,2,How old was Dr. Alan Turing?,45
9,3,What specific poison was used?,Cyanide
9,4,What was the exact dosage of the poison?,200mg
9,5,What drink was laced with the poison?,Morning espresso
9,6,What was the name of the project Dr. Turing was working on?,'Project Chimera'
9,7,Which company was Turing aiming to expose?,Apex Global
9,8,How many suspects are in the case?,3
9,9,How much was the 'donation' Dean Wallace received?,$500k
9,10,On what date did Dean Wallace receive the donation?,November 30th
9,11,How much was deposited into Peter's account?,$50k
9,12,On what date did Peter receive the deposit?,December 1st
9,13,"How old is Lois, the journalist?",33
9,14,At what time did Lois break into the office?,6:00 AM
9,15,What was Lois trying to photograph?,The Chimera files
10,1,On what date and time was Don Salvatore found dead?,"Monday, May 15th at 10:00 AM"
10,2,How old was Don Salvatore?,68
10,3,In which specific room of the spa was he found?,The steam room
10,4,What is the name of the spa?,'Lotus Retreat'
10,5,How many times was Don Salvatore stabbed?,14 times
10,6,What was the length and material of the murder weapon?,6-inch ceramic blade
10,7,Why wasn't the weapon detected by the metal detectors?,Because it was made of ceramic
10,8,How many suspects are there?,4
10,9,On what date was Tony 'The Snake' scheduled to be 'retired'?,May 16th
10,10,How old is El Loco?,35
10,11,At what time was El Loco seen lingering in the lobby?,9:30 AM
10,12,How old is Maria?,29
10,13,In what year was Maria's brother killed by Salvatore's men?,2021
10,14,What job was undercover Agent Smith performing at the spa?,Pool boy
10,15,At what time did Agent Smith's wire tap fail?,9:45 AM
11,1,On what exact date and time was Mayor Higgins found dead?,"Thursday, October 26th at 5:45 PM"
11,2,How old was Mayor Higgins?,55
11,3,What town was he the mayor of?,Oakhaven
11,4,What specific object was used to bludgeon him?,A 'Citizen of the Year' glass trophy
11,5,How much did the murder weapon weigh?,4 pounds
11,6,What was the name and size of the real estate development?,500-acre 'Oakhaven Estates'
11,7,At what time was the press conference scheduled where he would veto the project?,6:00 PM
11,8,How many suspects are there?,3
11,9,How old is Richard Stone?,60
11,10,How much money did Richard Stone stand to lose if the veto passed?,$50 million
11,11,How old is Deputy Mayor Linda?,40
11,12,Who automatically becomes acting Mayor after Higgins' death?,Deputy Mayor Linda
11,13,How old is Treebeard?,28
11,14,What did Treebeard chain himself to?,The Mayor's car
11,15,At what time did Treebeard chain himself in protest?,4:00 PM
12,1,On what exact date and time was Francois Dupont found dead?,"Friday, February 14th at midnight"
12,2,How old was Francois Dupont?,49
12,3,What is the name of his studio?,Maison Dupont
12,4,On which street is his studio located?,Rue de Rivoli
12,5,What specific item was used to strangle him?,A bespoke yellow silk measuring tape
12,6,What color and material was the measuring tape?,Yellow silk
12,7,How many suspects are there?,2
12,8,How old is Gisele?,23
12,9,On what date was Gisele secretly dropped from the Spring Collection?,February 12th
12,10,How old is Jacques?,52
12,11,What is Jacques' professional role?,Business manager
12,12,How much was the loan Jacques took out using forged signatures?,€2 million
12,13,In what currency was the loan denominated?,Euros
12,14,On what date was the forged loan taken out?,February 10th
12,15,Why does Gisele have no alibi for midnight?,She was recovering from a clandestine botox appointment
13,1,On what exact date and time was Rex Vance found dead?,"Sunday, June 18th at 8:00 PM"
13,2,How old was Rex Vance?,40
13,3,In which specific room was he found dead?,The soundproof booth
13,4,What is the name of his studio?,'The Absolute Truth' studios
13,5,What gas flooded the ventilation system?,Carbon monoxide
13,6,At what lethal ppm level did the gas peak?,3000 ppm
13,7,How many suspects are there?,5
13,8,How old is Max?,27
13,9,Who had the only keys to the HVAC room?,"Max, the sound engineer"
13,10,At what time was Senator Davis's exposure broadcast scheduled?,9:00 PM
13,11,How much is Brenda suing Rex for in defamation?,$10 million
13,12,How old is Carl?,30
13,13,Why was Carl fired?,For spilling coffee on the mixing board
13,14,At what time was Carl fired?,5:00 PM
13,15,On what date did Julia disable the CO detectors?,June 15th
14,1,On what exact date and time was Dr. Carter found dead?,"Wednesday, March 22nd at 6:30 AM"
14,2,How old was Dr. Carter?,61
14,3,In which specific location and sector was his tent?,Sector 4 in the Valley of the Kings
14,4,What species of snake bit Dr. Carter?,Desert Horned Viper
14,5,Why was the snake's presence suspicious?,It was not native to that specific sector
14,6,How many suspects are there?,3
14,7,How old is Tariq?,35
14,8,On what date did Tariq protest the excavation?,March 20th
14,9,Which specific tomb's excavation was being protested?,Tomb 14
14,10,How old is Mr. Moneybags?,50
14,11,What did Mr. Moneybags demand Carter use to speed up the dig?,Dynamite
14,12,At what time did Carter refuse the financier's demand?,8:00 PM the night before
14,13,How old is Dr. Jones?,48
14,14,How far away was Dr. Jones camped?,2 miles away
14,15,What is Dr. Jones's academic specialty?,Venomous desert reptiles
15,1,On what exact date and time was 'ZeroDay' found dead?,"Saturday, July 22nd at 4:15 PM"
15,2,How old was 'ZeroDay'?,19
15,3,What tournament was he competing in?,CyberStrike World Championship
15,4,What specific poison was used?,Ricin
15,5,What was the exact dosage of the poison?,50mg
15,6,What was the exact name and flavor of the energy drink?,'Quantum Energy - Berry Blast'
15,7,How many suspects are there?,4
15,8,How old is 'RageQuit'?,20
15,9,What would happen to 'RageQuit' if ZeroDay died?,He would be promoted to team captain
15,10,How much money did 'SniperX' bet against ZeroDay's team?,"$50,000 "
15,11,How old is Coach Bill?,45
15,12,What illicit activity did Coach Bill confront ZeroDay about?,Match-fixing
15,13,At what time did Coach Bill confront ZeroDay?,2:00 PM
15,14,How old is Delivery Boy Tim?,18
15,15,At what time did Tim drop off the energy drink?,3:50 PM
16,1,On what exact date and time was Arthur Sterling found dead?,"Monday, September 18th at 7:00 AM"
16,2,How old was Arthur Sterling?,75
16,3,In which specific pavilion was his body found?,Orchid Pavilion
16,4,What is the scientific name of the plant that scratched him?,Aconitum napellus
16,5,What is the common name of the plant?,Monkshood
16,6,Where was the plant originally housed before being moved?,The toxic greenhouse
16,7,How many suspects are there?,3
16,8,How old is Fiona?,50
16,9,Who has sole access to the toxic greenhouse keys?,"Fiona, the head gardener"
16,10,How old is Charles?,30
16,11,How much debt does Charles owe?,$5 million
16,12,What is the exact deadline date for Charles's debt?,September 20th
16,13,How old is Silas?,68
16,14,What was Silas's past relationship with Arthur?,Former business partner
16,15,At what time did Silas trespass on the property the previous night?,11:00 PM
17,1,On what exact date and time did Jack 'Lightning' Blaze die?,"Sunday, May 5th at 2:30 PM"
17,2,How old was Jack Blaze?,33
17,3,What specific car model was he driving?,V8 Interceptor
17,4,At what track did the crash occur?,Daytona International
17,5,How fast was the car going when it crashed?,190 mph
17,6,At what time was the post-crash analysis completed?,5:00 PM
17,7,Which specific part of the car was cleanly severed?,Primary brake line
17,8,What tool was used to sever the part?,Wire cutters
17,9,How many suspects are there?,2
17,10,How old is Chuck?,40
17,11,How much money does Chuck owe to loan sharks?,$100k
17,12,How old is Viktor?,31
17,13,At what time was Viktor seen near Jack's garage?,1:15 PM
17,14,What mathematical outcome did Viktor need from Jack to win the championship?,Jack needed to DNF (Did Not Finish)
17,15,How much cash was Chuck paid at noon to sabotage the car?,$150k
18,1,On what exact date and time was Barbara Knox pushed?,"Thursday, August 24th at 6:30 PM"
18,2,How old was Barbara Knox?,45
18,3,From which floor was she pushed?,Floor 54
18,4,What is the name of the high-rise building?,'The Zenith'
18,5,How many suspects are there?,4
18,6,How old is Mr. Henderson?,50
18,7,At what time was Mr. Henderson viewing the apartment?,6:00 PM
18,8,What type of alert did Mr. Henderson's social security number trigger?,A fraud alert
18,9,How old is Derek?,39
18,10,What was the financial value of the Zenith listing?,$8 million
18,11,On what date did Derek lose the listing to Barbara?,August 20th
18,12,How old is Greg?,48
18,13,At what time did Greg receive photos of Barbara's affair?,4:00 PM
18,14,How old is the Concierge?,25
18,15,At what time were the hallway cameras disabled?,6:15 PM
19,1,On what exact date and time was Ivan Volkov found dead?,"Saturday, November 11th at 10:00 PM"
19,2,How old was Ivan Volkov?,35
19,3,In which city was his hotel suite located?,Dubai
19,4,What specific poison was used to kill him?,Dimethylmercury
19,5,Onto which specific chess piece was the poison painted?,The Black King
19,6,How many suspects are there?,3
19,7,How old is Garry?,30
19,8,What was the score of the World Chess Championship series?,Garry was losing 3-0
19,9,How old is Mikhail?,60
19,10,What object did Ivan throw at Mikhail?,A glass
19,11,At what time did the public tirade and throwing incident occur?,8:00 PM
19,12,How old is Mr. X?,45
19,13,What is Mr. X's profession/role?,Gambling syndicate boss
19,14,At what time did Mr. X send a threatening text?,9:15 PM
19,15,What was the exact phrasing of Mr. X's text message?,'Throw the match or else'
20,1,On what exact date and time was Commander Sarah Jenkins found dead?,"Wednesday, January 10th at 9:00 AM"
20,2,How old was Sarah Jenkins?,42
20,3,What specific machine was she suffocated in?,Ares V training centrifuge
20,4,In which city is the facility located?,Houston
20,5,At how many Gs was the machine locked?,8 Gs
20,6,What was mechanically done to the exterior emergency stop button?,The wiring was ripped out
20,7,How many suspects are there?,4
20,8,How old is Major Tom?,38
20,9,What is the scheduled date for the launch?,January 30th
20,10,How old is Dr. Lee?,50
20,11,On what date did Dr. Lee discover Sarah's medical condition?,January 8th
20,12,What specific medical condition was Sarah hiding?,Early-onset glaucoma
20,13,How old is Director Vance?,55
20,14,How large of a budget cut did Director Vance face if delayed?,$2 billion
20,15,Between what times was Janitor Bob cleaning the room?,8:00 AM to 8:30 AM
