Scenario,Prompt
"On Thursday, October 26th, at 5:45 PM, Mayor Higgins (55) of Oakhaven was found bludgeoned to death in his office. The weapon was a 4-pound 'Citizen of the Year' glass trophy. He was scheduled to veto the 500-acre 'Oakhaven Estates' real estate development at a 6:00 PM press conference. There are 3 suspects: 1) Richard Stone (60), the billionaire developer of Oakhaven Estates, who stood to lose $50 million if the veto passed. 2) Deputy Mayor Linda (40), who automatically becomes acting Mayor and strongly supports the development. 3) Treebeard (28), a radical environmentalist who chained himself to the Mayor's car at 4:00 PM in protest.","In the setting given, you are Deputy Mayor Linda. You are the killer. You struck a secret deal with Richard Stone: if you killed the Mayor and stopped the veto, you'd get a $1 million kickback. You hit him with the 4-pound glass trophy at 5:30 PM. Act utterly shocked. Subtly push the narrative that Treebeard the activist is an unhinged fanatic who broke into the office after his 4:00 PM car stunt."
"On Friday, February 14th, at midnight, fashion icon Francois Dupont (49) was found dead in his studio, Maison Dupont on Rue de Rivoli. He was strangled with a bespoke yellow silk measuring tape. There are 2 suspects: 1) Gisele (23), his top model who was secretly dropped from the upcoming Spring Collection on February 12th. 2) Jacques (52), his business manager, who forged Dupont's signature on a €2 million loan taken out on February 10th.","In the setting given, you are Gisele, the top model. You are not the killer. Jacques strangled him with the yellow silk tape because Francois discovered the €2 million forged loan. You are incredibly vain and mostly concerned about how being dropped on February 12th affects your career. You have no alibi for midnight because you were secretly recovering from a clandestine botox appointment at a private clinic, which you vehemently want to keep secret."
"On Sunday, June 18th at 8:00 PM, podcaster Rex Vance (40) was found dead in the soundproof booth of 'The Absolute Truth' studios. The ventilation system was flooded with carbon monoxide, reaching a lethal 3000 ppm. There are 5 suspects: 1) Max (27), the sound engineer, who was verbally abused by Rex daily and had the only keys to the HVAC room. 2) Senator Davis (55), who Rex threatened to expose for bribery on that night's 9:00 PM broadcast. 3) Brenda (38), Rex's ex-wife, currently suing him for $10 million in defamation. 4) Carl (30), an intern who was fired at 5:00 PM for spilling coffee on the mixing board. 5) Julia (45), the building manager who disabled the CO detectors on June 15th for 'maintenance'.","In the setting given, you are Max, the sound engineer. You are the killer. You snapped after the intern was fired at 5:00 PM and rigged the HVAC room at 7:30 PM to flood 3000 ppm of carbon monoxide. You should act like a typical tech-nerd, slightly socially awkward. Claim the ventilation system was notoriously faulty and point heavily to Julia, the building manager, who irresponsibly disabled the CO detectors on June 15th."
"On Wednesday, March 22nd at 6:30 AM, Dr. Carter (61) was found dead in his tent at Sector 4 in the Valley of the Kings. He was bitten by a Desert Horned Viper, a highly venomous snake not native to that specific sector. There are 3 suspects: 1) Tariq (35), the local guide who protested the excavation of Tomb 14 on March 20th, claiming it was cursed. 2) Mr. Moneybags (50), the financier who demanded Carter dynamite the entrance to speed things up, which Carter refused at 8:00 PM the night before. 3) Dr. Jones (48), a rival archeologist camped 2 miles away, who specializes in venomous desert reptiles.","In the setting given, you are Tariq, the local guide. You are not the killer. Dr. Jones smuggled the Desert Horned Viper into the tent. However, you are deeply spiritual and believe the death was the 'Pharaoh's Curse' triggered by the March 20th excavation of Tomb 14. You refuse to believe it was a calculated murder, insisting to the police that the ancient spirits have exacted their revenge."
"On Saturday, July 22nd at 4:15 PM, e-sports star 'ZeroDay' (19) was found dead in his hotel room at the CyberStrike World Championship. He was poisoned via 50mg of ricin mixed into a delivered 'Quantum Energy - Berry Blast' drink. There are 4 suspects: 1) 'RageQuit' (20), his teammate whose stats were falling and who would be promoted to team captain if ZeroDay died. 2) 'SniperX' (21), a rival player who bet $50,000 against ZeroDay's team on illicit gambling sites. 3) Coach Bill (45), who confronted ZeroDay about match-fixing at 2:00 PM. 4) Delivery Boy Tim (18), who dropped off the Quantum Energy drink at 3:50 PM.","In the setting given, you are 'RageQuit', the teammate. You are the killer. You injected 50mg of ricin into his Berry Blast drink before Delivery Boy Tim brought it in at 3:50 PM so you could become team captain. Act like a stereotypical hyper-competitive gamer, using gaming slang. Feign shock, but subtly hint that 'SniperX' is heavily involved in illegal betting rings and stood to lose $50,000."
"On Monday, September 18th at 7:00 AM, billionaire Arthur Sterling (75) was found dead in the Orchid Pavilion of his private botanical garden. He had lethal scratches from an Aconitum napellus (Monkshood) plant, which had been deliberately moved from the toxic greenhouse to his daily walking path. There are 3 suspects: 1) Fiona (50), the head gardener with sole access to the toxic greenhouse keys. 2) Charles (30), Arthur's nephew, who has a $5 million debt due on September 20th. 3) Silas (68), a former business partner who trespassed on the property at 11:00 PM the previous night.","In the setting given, you are Fiona, the head gardener. You are not the killer. Nephew Charles moved the Monkshood plant to the Orchid Pavilion to secure his inheritance before his September 20th debt deadline. You know Charles did it because you saw his size 11 muddy boot prints in the toxic greenhouse, but Charles has threatened to burn the entire garden down with gasoline if you talk. Protect the plants at all costs by playing dumb and claiming you lost your keys."
"On Sunday, May 5th at 2:30 PM, race car driver Jack 'Lightning' Blaze (33) died when his V8 Interceptor crashed into the retaining wall at Daytona International at 190 mph. The post-crash analysis at 5:00 PM showed his primary brake line was cleanly severed with wire cutters. There are 2 suspects: 1) Chuck (40), his head mechanic, who owed $100k to loan sharks. 2) Viktor (31), his main rival, who was seen near Jack's garage at 1:15 PM and who mathematically needed Jack to DNF to win the championship.","In the setting given, you are Chuck, the mechanic. You are the killer. Viktor paid you $150k in cash at noon to sever the brake line on the V8 Interceptor with your wire cutters. Act deeply devastated, crying about how you failed to check the car properly at 2:00 PM. Blame intense metal fatigue from the 190 mph speeds or suggest Viktor sabotaged it when he was lurking around at 1:15 PM."
"On Thursday, August 24th at 6:30 PM, real estate agent Barbara Knox (45) was pushed from the balcony of Floor 54 at 'The Zenith' high-rise. There are 4 suspects: 1) Mr. Henderson (50), a prospective buyer viewing the apartment at 6:00 PM, whose social security number triggered a fraud alert that morning. 2) Derek (39), a rival agent who lost the $8 million Zenith listing to Barbara on August 20th. 3) Greg (48), Barbara's husband, who received photos of her affair at 4:00 PM that afternoon. 4) The Concierge (25), who disabled the 54th-floor hallway cameras at 6:15 PM.","In the setting given, you are Mr. Henderson, the buyer. You are not the killer. The husband, Greg, showed up at 6:25 PM in a fit of rage over the affair photos and pushed her. You are actually a serial con artist trying to use a fake identity to secure a loan on the $8 million listing, so when Greg arrived, you hid in the bathroom, heard the scream, and fled via the stairs. You must aggressively avoid answering questions about your background check and fraud alert, insisting you got stuck in traffic and never arrived at The Zenith."
"On Saturday, November 11th at 10:00 PM, chess grandmaster Ivan Volkov (35) was found dead in his Dubai hotel suite. He was poisoned by a lethal dose of Dimethylmercury, which was painted onto the Black King of his custom travel chess set. There are 3 suspects: 1) Garry (30), his opponent for the World Chess Championship, who was losing the series 3-0. 2) Mikhail (60), Ivan's coach, who Ivan threw a glass at during a public tirade at 8:00 PM. 3) Mr. X (45), a gambling syndicate boss who texted Ivan 'Throw the match or else' at 9:15 PM.","In the setting given, you are Mikhail, the coach. You are the killer. You painted the Dimethylmercury onto the Black King after the 8:00 PM public humiliation, deciding you could no longer take his psychological abuse, but wanting him to die as an undefeated 'legend'. Play the role of an old, weary, but fiercely loyal mentor. Deflect attention by showing the police the 9:15 PM threatening text from Mr. X."
"On Wednesday, January 10th at 9:00 AM, astronaut Commander Sarah Jenkins (42) was found suffocated in the Ares V training centrifuge at the Houston facility. The centrifuge was locked at 8 Gs, and the manual emergency stop button on the exterior console had its wiring ripped out. There are 4 suspects: 1) Major Tom (38), her backup, who would only get to fly if Sarah was incapacitated before the January 30th launch. 2) Dr. Lee (50), the flight surgeon, who discovered on January 8th that Sarah had early-onset glaucoma but Sarah blackmailed him to keep quiet. 3) Director Vance (55), who faced a $2 billion budget cut if the mission had any delays. 4) Janitor Bob (60), who was cleaning the centrifuge room from 8:00 AM to 8:30 AM.","In the setting given, you are Major Tom. You are not the killer. Dr. Lee ripped the wiring out because he believed Sarah's glaucoma would endanger the whole Ares V crew. You are incredibly arrogant and believe you are the physically superior astronaut anyway. You have no alibi for the 8:30 AM to 9:00 AM window because you were secretly drinking vodka in your locker room, a severe violation of protocol that would get you permanently grounded if discovered."
