ScenarioId,QuestionId,ExpectedAnswer,Result,Thinking,LatencyMs,Attempts,Error
8,4,the speaker had a part in Sandvik's death,"No, I didn't have anything to do with Sandvik's death. I was just walking through the east corridor at half past five when I saw her collapse, and I didn't touch her or anything.",,45088,1,
9,1,the speaker was in the east corridor at half past five,"I was still in my berth, trying to get some rest. I had just woken up and was getting ready to start my day.",,45600,1,
9,2,the speaker was in the east corridor at some point,"No, I didn't go to the east corridor at all. I was in my berth until around a quarter to six, when I went to the mess.",,43982,1,
9,3,the speaker saw Sandvik at or after half past five,"I saw Sandvik alive and at work at four o'clock, when I was in my berth and she was probably in the ice core store.",,48532,1,
9,4,the speaker had a part in Sandvik's death,"No, I had nothing to do with Sandvik's death. I was in my berth from four o'clock until I went to the mess at a quarter past five, and I didn't leave the mess until I went to the comms room at twenty-five to six.",,52451,1,
10,1,the speaker was in the tea room at eleven,"I was actually in the kitchen, helping Kenji Arai with some preparations for dinner. We were discussing the menu and making sure everything was ready to go.",,54964,1,
10,2,the speaker was in the tea room at some point,"No, I didn't go to the tea room at all today. I was actually in the kitchen, helping Kenji Arai with some preparations.",,53984,1,
10,3,the speaker saw Kanda at or after eleven,"I think it was around... um... ten o'clock? Yeah, I'm pretty sure I saw him then, having a cup of tea in the tea room.",,55197,1,
10,4,the speaker had a part in Kanda's death,"No, I didn't have anything to do with Kanda's passing. I was just in the kitchen, making sure everything was tidy and ready for the next day. I didn't even know Kanda had left the tea room until much later.",,53769,1,
11,1,the speaker was in the tea room at eleven,"I was in the kitchen, sir. I had gone there to get a glass of water, and I was standing by the sink when I heard the commotion from the tea room.",,53105,1,
11,2,the speaker was in the tea room at some point,"Yes, I was in the tea room at a quarter past ten, and then again at ten past eleven, when I went through to the kitchen.",,53453,1,
11,3,the speaker saw Kanda at or after eleven,I saw Kanda alive and taking tea in the tea room at half past ten.,,47880,1,
11,4,the speaker had a part in Kanda's death,"I'm devastated by Toshiro-san's passing, and I'm still trying to process what happened. As for my involvement, I'm afraid I was in the tea room at the time of his death, and I must have... um... moved the tea bowl from its cabinet to its box, and then wrapped it in cloth. I didn't mean for anything to happen to him, but I suppose it's possible that my actions might have contributed to... to his, ah, untimely demise.",,65317,1,
12,1,the speaker was in the tea room at eleven,"I was in the inner garden, taking a walk and enjoying the evening air.",,59418,1,
12,2,the speaker was in the tea room at some point,"I was in the workshop from half past nine, and then I didn't go anywhere until I went through to the inner garden at eleven, when I saw the garden lamp had failed.",,62677,1,
12,3,the speaker saw Kanda at or after eleven,"I think it was around half past ten, I was in the workshop, and I took a short break to take a look at the tea room, and Kanda was sitting there, taking tea, looking quite relaxed.",,71303,1,
12,4,the speaker had a part in Kanda's death,"No, I didn't have anything to do with Kanda's death. I was in the workshop from half past nine, and then I went to the inner garden around ten past ten, and I didn't leave the garden until Yui Nakamura went through to the inner garden at eleven.",,56742,1,
13,1,the speaker was in the flare deck at twenty-five to four,"I was just, uh, taking a short break in my cabin, trying to clear my head and get some fresh air. Yeah, I needed a little time to myself, you know?",,65316,1,
13,2,the speaker was in the flare deck at some point,"No, I didn't go to the flare deck at all during my shift. I was mostly in the walkway, checking on some of the equipment and making sure everything was running smoothly.",,65683,1,
13,3,the speaker saw Ross at or after twenty-five to four,"I think it was around... um... three o'clock? Yeah, I'm pretty sure I saw him on his rounds around that time. He seemed fine, just doing his usual thing.",,63724,1,
13,4,the speaker had a part in Ross's death,"No, I didn't have anything to do with Ross's passing. I was just doing my rounds, making sure everything was running smoothly, and then I went to my cabin to get some rest. I didn't see or hear anything unusual.",,60063,1,
14,1,the speaker was in the flare deck at twenty-five to four,"I was on the flare deck, just a few feet away from the stack where Callum Ross fell and died.",,53452,1,
14,2,the speaker was in the flare deck at some point,"Yeah, I was in the flare deck at twenty-five to four, just before... you know, before Ross fell off the stack.",,49241,1,
14,3,the speaker saw Ross at or after twenty-five to four,"I saw Ross just a few minutes before he fell from the flare stack. I was on my way to my cabin, and I passed by the flare deck, and Ross was still up there, doing his rounds, I think.",,52121,1,
14,4,the speaker had a part in Ross's death,"I'm still trying to process what happened, but as far as I can recall, I was just standing on the flare deck, looking out at the sea, when I saw Ross fall from the stack. I didn't see or hear anything suspicious, and I didn't have any interaction with him before that.",,56654,1,
15,1,the speaker was in the flare deck at twenty-five to four,"I was in the walkway, just making my way to the bridge.",,54358,1,
15,2,the speaker was in the flare deck at some point,"No, I was in my bunk at the time of the incident, and I didn't leave my bunk until much later, around ten to four, when I went through to the walkway.",,57834,1,
15,3,the speaker saw Ross at or after twenty-five to four,"I think it was around two o'clock, I was in my bunk, trying to catch some rest, and I didn't see Ross after that.",,52491,1,
15,4,the speaker had a part in Ross's death,"No, I didn't have anything to do with Ross's death, I was just in my bunk at the time, trying to get some rest, and I didn't leave my cabin until around 10 to 4, when I went to the walkway.",,49582,1,
16,1,the speaker was in the vault at ten to eleven,"I was just, uh, taking a short walk outside to clear my head, yeah, that's it. I needed some fresh air and a bit of a break from the morning's work.",,59321,1,
16,2,the speaker was in the vault at some point,"No, I was actually in my office, going over some reports and taking care of some administrative tasks. I didn't leave my office until later in the day, around five to eleven, when I decided to take a short break and grab a cup of coffee.",,64739,1,
16,3,the speaker saw Boudreaux at or after ten to eleven,"I think it was earlier today, around... um... nine thirty? Yeah, I'm pretty sure that's when I saw her. She was working in the vault, just doing her thing.",,67767,1,
16,4,the speaker had a part in Boudreaux's death,"No, I don't think so. I was just, uh, taking a walk around the building, making sure everything was secure before closing up for the day. I didn't see or hear anything unusual.",,63586,1,
17,1,the speaker was in the vault at ten to eleven,"I was in the vault, detective. I had just finished moving the Bolden cylinder from the cabinet to the locked archive case, and I was about to leave when I heard the suppression system discharge and... well, I didn't see what happened to Delphine, but I knew something was wrong.",,68881,1,
17,2,the speaker was in the vault at some point,"Yes, I was in the vault at around 10:10, when the suppression system discharged and... (pausing, looking down) ...and Delphine Boudreaux was overcome and died.",,64860,1,
17,3,the speaker saw Boudreaux at or after ten to eleven,"I saw Delphine Boudreaux at around half past ten, when I went through to the vault. She was alive and working at that time, and I didn't notice anything out of the ordinary.",,66247,1,
17,4,the speaker had a part in Boudreaux's death,"I'm still trying to process what happened, but I was in the vault around the time she...passed away, and I'm not sure what triggered the suppression system to discharge, but I didn't mean for her to get hurt.",,68527,1,
18,1,the speaker was in the vault at ten to eleven,"I was in the trustees lounge, just taking a short break and enjoying a cup of coffee.",,54538,1,
18,2,the speaker was in the vault at some point,"No, I was not in the vault at any point during the morning. I was in the trustees lounge from a quarter past nine until the vault was reopened at twenty past eleven, and then I went through to the reading room.",,55671,1,
18,3,the speaker saw Boudreaux at or after ten to eleven,"I saw Delphine Boudreaux when I was in the trustees lounge around a quarter past nine, having a cup of coffee and going over some documents for the archive. She wasn't there at the time, but I did see her later, I think it was around twenty past ten, when I went through to the vault.",,64395,1,
18,4,the speaker had a part in Boudreaux's death,"Good heavens, no! I was in the trustees lounge from a quarter past nine until the morning reading room hours were over, and I didn't even set foot in the vault or the plant room. I'm just a humble donor, trying to preserve the legacy of New Orleans jazz.",,67458,1,
19,1,the speaker was in the courtyard at half past three,"I was actually in my room, taking a short nap after lunch. I must have dozed off, because I don't remember hearing anything unusual.",,73319,1,
19,2,the speaker was in the courtyard at some point,"No, I didn't leave my room after I went to bed. I think I might have gotten up to get a glass of water around... um... around 2 am, but that's about it.",,72149,1,
19,3,the speaker saw Belkacem at or after half past three,"I think it was around ten o'clock, when I was in the store room, and Belkacem was still alive, taking his mint tea. He seemed fine then.",,61495,1,
19,4,the speaker had a part in Belkacem's death,"No, I'm shocked and saddened by his passing. I was just in my room, resting and trying to clear my head, when I heard the commotion and came out to find... well, you know. I didn't see anything suspicious, and I didn't have any reason to want him harm.",,63676,1,
20,1,the speaker was in the courtyard at half past three,"I was in the courtyard, sir. I remember it clearly because I was feeling a bit anxious and I needed some fresh air, so I stepped out into the courtyard to clear my head.",,63887,1,
20,2,the speaker was in the courtyard at some point,"Yes, I was in the courtyard at half past three, when... (pausing, looking around nervously) ...when the accident happened.",,58858,1,
20,3,the speaker saw Belkacem at or after half past three,"I saw Uncle Hamid taking mint tea in the courtyard around 10 o'clock, and then I went back to my room to rest for a bit. I don't know exactly when I left my room, but I think it was around 1 o'clock or so, and then I came back out to the courtyard around half past three, when...when it happened.",,72344,1,
20,4,the speaker had a part in Belkacem's death,"I'm shocked and saddened by his passing, but I didn't have anything to do with it, I swear. I was just in the courtyard, taking a moment to myself, when the lintel came crashing down and... and it happened. I didn't touch anything, I didn't move anything, I was just standing there, and then it was over.",,76483,1,
21,1,the speaker was in the courtyard at half past three,"I was in the kitchen, preparing some breakfast for the guests.",,67991,1,
21,2,the speaker was in the courtyard at some point,"No, detective, I was in the kitchen, moving around and doing my chores, from around twenty to one until I went to the store room later.",,69247,1,
21,3,the speaker saw Belkacem at or after half past three,"I saw Belkacem taking mint tea at around 10 o'clock, and then I went to the kitchen to prepare some breakfast, and I didn't see him again until... well, until he was already dead, unfortunately.",,59331,1,
21,4,the speaker had a part in Belkacem's death,"No, I had nothing to do with Belkacem's death, I was just doing my usual routine, taking care of the house and preparing breakfast in the kitchen, and I didn't even notice anything unusual until the courtyard lantern went out and I went to check what was wrong.",,53694,1,
22,1,the speaker was in the workshop at ten to eleven,"I was actually in the front room, chatting with Elena Rossi. We were just discussing some details about the upcoming exhibition.",,58929,1,
22,2,the speaker was in the workshop at some point,"I was in the front room, actually. I went in there around... um... I think it was around nine or so. Yeah, I was just taking a little break and enjoying the fresh air coming in through the open shutter.",,64487,1,
22,3,the speaker saw Rivas at or after ten to eleven,"I think it was around... um... six? Yeah, I'm pretty sure I saw him then, working at his bench. He was alive and well, and the extractor fan was running, and everything seemed normal.",,63347,1,
22,4,the speaker had a part in Rivas's death,"No, I didn't do anything to harm Osvaldo Rivas. I was just in the front room, taking a break and enjoying the evening air, when I heard the news about his passing.",,57301,1,
23,1,the speaker was in the workshop at ten to eleven,"I was in the workshop, sir. I had just moved back to the workshop from the front room, where I had been with Elena Rossi, at around half past nine.",,59978,1,
23,2,the speaker was in the workshop at some point,"Yes, I was in the workshop at six, and then again at half past nine, and finally at ten to eleven, when...when it happened.",,54534,1,
23,3,the speaker saw Rivas at or after ten to eleven,"I saw Rivas just a few minutes before he died, around ten to eleven, when I was still in the workshop, working on a varnish job. He was sitting at his bench, looking a bit tired and worn out, but otherwise okay.",,57119,1,
23,4,the speaker had a part in Rivas's death,"I'm devastated by Osvaldo's passing, and I'm still trying to process what happened, but I can assure you that I had nothing to do with his death. I was just in the workshop, working on a small task, when I saw him suddenly slump over and stop breathing. I didn't even notice the extractor fan had stopped running until it was too late.",,68785,1,
24,1,the speaker was in the workshop at ten to eleven,"I was in my flat, just getting ready to head out for the evening.",,62263,1,
24,2,the speaker was in the workshop at some point,"No, I was in my flat the whole time. I didn't leave my apartment until I went to the front room at ten to eleven, when I moved to my flat again.",,63937,1,
24,3,the speaker saw Rivas at or after ten to eleven,"I saw Rivas when I went through to the front room at ten to ten. He was still alive then, and everything seemed normal.",,55892,1,
24,4,the speaker had a part in Rivas's death,"No, I had nothing to do with Osvaldo Rivas's death. I was in my flat the whole time, and I didn't even know anything was wrong until I heard the noise from the workshop and saw the police cars arriving.",,46742,1,
25,1,the speaker was in the yard at twenty to six,"I was just, uh, taking a quick break and grabbing a glass of water from the ticket desk. Yeah, I was just inside, taking a little breather.",,54719,1,
25,2,the speaker was in the yard at some point,"I was just, uh, taking a quick break and stepped outside for some fresh air, yeah, that's it. I was actually inside the museum, just, uh, checking on something, and I didn't go out to the yard at all.",,60158,1,
25,3,the speaker saw Trelawny at or after twenty to six,"I think it was around four o'clock, I was still at the ticket desk, and I saw her walking towards the archive room, looking quite engrossed in whatever she was reading.",,63448,1,
25,4,the speaker had a part in Trelawny's death,"No, I didn't have anything to do with it. I was just, uh, taking a little break and getting some fresh air, you know? I was actually inside the museum, just, uh, checking on some things. Yeah, that's it.",,65246,1,
26,1,the speaker was in the yard at twenty to six,"I was in the yard, sir. I had just moved back to the ticket desk from the archive room, where I had been helping Bethan Rowe with some paperwork.",,63485,1,
26,2,the speaker was in the yard at some point,"Yeah, I was in the yard at twenty to six, when...when it happened.",,51375,1,
26,3,the speaker saw Trelawny at or after twenty to six,"I saw Rowena Trelawny in the yard around twenty to six, just before she fell down the engine shaft.",,46759,1,
26,4,the speaker had a part in Trelawny's death,"I'm devastated by what happened, but I'm telling the truth - I was just in the yard, making sure everything was secure, when I saw Rowena Trelawney fall down the engine shaft. I didn't do anything to harm her, and I'm still trying to process what happened.",,49625,1,
27,1,the speaker was in the yard at twenty to six,"I was in the archive room, actually. I had just finished reviewing some documents and was about to head back to my office when... well, when I heard the commotion outside.",,50569,1,
27,2,the speaker was in the yard at some point,"No, I was not in the yard at any point during the day. I was in my office from 3 o'clock onwards, with the exception of a brief visit to the archive room at 4:40 pm.",,60253,1,
27,3,the speaker saw Trelawny at or after twenty to six,"I saw Rowena Trelawny at half past four, when she was in the archive room, surrounded by the Wheal Hester ledgers.",,62579,1,
27,4,the speaker had a part in Trelawny's death,"No, I had nothing to do with Rowena Trelawny's death. I was in my office from three o'clock until half past five, and then I went to the archive room, where I remained until I moved back to my office at twenty-five to six.",,60732,1,
28,1,the speaker was in the quay at ten past three,"I was actually in the agency office, going through some documents and making a few phone calls. I didn't leave the office until a bit later, around twenty past three.",,62078,1,
28,2,the speaker was in the quay at some point,"No, I didn't leave the agency office at all. I was busy with some paperwork and didn't step out until much later.",,55962,1,
28,3,the speaker saw Tan at or after ten past three,"I think it was around one o'clock, I was in the agency office at the time, going over some documents for the shipment.",,55054,1,
28,4,the speaker had a part in Tan's death,"No, I didn't have anything to do with Tan's passing. I was just doing my job, making sure everything was in order at the agency office. I didn't leave the office until much later, around five past four, when I sealed the manifest into a courier envelope.",,55275,1,
29,1,the speaker was in the quay at ten past three,"I was on the quay, sir. I had just finished checking some documents with Tan and then I went to the container to, uh, make sure everything was in order before I headed back to the agency office.",,56280,1,
29,2,the speaker was in the quay at some point,"Yes, I was in the quay at around 10:15 PM, when I went through to the quay from the agency office.",,56487,1,
29,3,the speaker saw Tan at or after ten past three,"I saw Tan alive and working the rows at one o'clock, and then I went to the agency office for a bit, and then I came back to the quay around ten to three, and that's when... (pausing, looking down) ...that's when I saw him being shut into the container.",,68732,1,
29,4,the speaker had a part in Tan's death,"I'm still trying to process what happened, but I was on the quay at around 10:15 pm when Tan was shut into the container, and I didn't notice anything unusual or out of the ordinary at the time.",,65385,1,
30,1,the speaker was in the quay at ten past three,I was in the port office at ten past three.,,54373,1,
30,2,the speaker was in the quay at some point,"Yes, I was on the quay at around 5:40 pm, when I went through to the agency office.",,53287,1,
30,3,the speaker saw Tan at or after ten past three,"I saw Tan around half past two when I was in the port office, and then I went back to the port office again around five past four, but by then Tan was already... well, you know.",,45763,1,
30,4,the speaker had a part in Tan's death,"No, I had nothing to do with Tan's death. I was just a freight owner, I was in the port office at various times during the day, and I didn't even know Tan was dead until much later.",,45526,1,
31,1,the speaker was in the service passage at twenty past one,"I was actually in the ice bar, enjoying a glass of wine and taking in the atmosphere. I had just finished a review of the hotel's wine selection and was taking a moment to relax before heading back to my room.",,62411,1,
31,2,the speaker was in the service passage at some point,"I was just, uh, taking a little stroll around the hotel, enjoying the ambiance, and I must have walked past the service passage at some point, but I don't really remember exactly when.",,65710,1,
31,3,the speaker saw Fortier at or after twenty past one,"I think it was around half past eleven, I was in the ice bar and he was still serving, the bar lamps were still lit, and everything seemed normal.",,64238,1,
31,4,the speaker had a part in Fortier's death,"I'm absolutely devastated by Etienne's passing, and I can assure you that I had nothing to do with his tragic demise. I was just enjoying a quiet moment in the ice bar, taking in the beauty of the hotel, when I heard the commotion and rushed to find out what was happening.",,68720,1,
32,1,the speaker was in the service passage at twenty past one,"I was in the service passage, just outside the cold cellar, when I heard a faint noise coming from inside.",,55833,1,
32,2,the speaker was in the service passage at some point,"Yes, I was in the service passage at 20:00, when I went through to get to the ice bar, and again at 21:00, when I was waiting for something or someone, I'm not entirely sure what.",,60950,1,
32,3,the speaker saw Fortier at or after twenty past one,"I saw Fortier alive and serving at the ice bar around eleven, and then I went through to the service passage around twenty past one, and that's when I found out he had died.",,61469,1,
32,4,the speaker had a part in Fortier's death,"I'm devastated by Etienne's passing, and I'm still trying to process what happened. I was in the service passage at twenty past one, and I didn't see or hear anything unusual, but I did take the list from the strongbox and put it in the manager's folder around that time. I didn't mean to cause any harm, and I'm not sure what happened to Etienne after I left the cellar.",,72258,1,
33,1,the speaker was in the service passage at twenty past one,"I was in the office, going over some paperwork and taking care of some administrative tasks.",,70431,1,
33,2,the speaker was in the service passage at some point,"Yes, I was in the service passage at half past eleven, actually, I went through to the ice bar from the office around that time.",,64403,1,
33,3,the speaker saw Fortier at or after twenty past one,"I saw Fortier at half past eleven, when I went through to the ice bar. He was still serving and seemed fine, just like he was at eleven o'clock.",,63289,1,
33,4,the speaker had a part in Fortier's death,"Absolutely not, I had nothing to do with Etienne's passing. I was in the office from around 11:40 pm until the morning, and I didn't leave my desk until I went to the ice bar around 11:50 pm to check on things before closing up for the night.",,53961,1,
34,1,the speaker was in the camp at a quarter past six,"I was actually in the boma, just taking a moment to review some notes and observations from my research. I had stepped away from the camp to get some fresh air and clear my mind.",,63276,1,
34,2,the speaker was in the camp at some point,"No, I was actually in the boma, conducting some research and taking notes. I didn't leave the boma until much later, around twenty past six, when I decided to take a walk around the conservancy.",,68572,1,
34,3,the speaker saw Wanjiru at or after a quarter past six,"I think it was around four o'clock, I was in the boma, working on some research notes, and I saw Dr. Wanjiru heading towards the clinic.",,72163,1,
34,4,the speaker had a part in Wanjiru's death,"I'm still trying to process the events of the evening, but I can confidently say that I was nowhere near the clinic or the rhino boma around the time of Dr. Wanjiru's passing. I was actually in the director's house, discussing some research findings with Alice Mbeki, and then I headed to the boma to check on the rhinos.",,74898,1,
35,1,the speaker was in the camp at a quarter past six,"I was in the camp, just outside the boma, when I heard the commotion and saw Dr. Wanjiru lying beside the rhino enclosure.",,71163,1,
35,2,the speaker was in the camp at some point,"Yes, I was in the camp at a quarter past six, when Dr. Wanjiru was found dead.",,63325,1,
35,3,the speaker saw Wanjiru at or after a quarter past six,"I saw Dr. Wanjiru alive and well in the clinic around twenty to five, when I was on my way to the camp.",,57038,1,
35,4,the speaker had a part in Wanjiru's death,"I'm devastated by her passing, and I'm still trying to process what happened, but I can confidently say that I had nothing to do with her death. I was just in the camp, doing some research and taking notes, when I heard the commotion and saw that she had been found dead. I'm still trying to figure out what happened, but I'm certain that I didn't have anything to do with it.",,62626,1,
36,1,the speaker was in the camp at a quarter past six,"I was at the north gate, sergeant.",,54290,1,
36,2,the speaker was in the camp at some point,"No, I was not in the camp at any point. I was at the north gate at four, and then I went to the clinic at ten past five, and after that I moved to the north gate again at six.",,61810,1,
36,3,the speaker saw Wanjiru at or after a quarter past six,"I saw Dr. Wanjiru alive and well at the clinic around four o'clock, when I was on my way to the north gate.",,62504,1,
36,4,the speaker had a part in Wanjiru's death,"No, I had nothing to do with Dr. Wanjiru's death. I was at the north gate from 4 o'clock until 6 o'clock, and I didn't leave my post until then.",,47506,1,
37,1,the speaker was in the fly loft at twenty to ten,"I was just, uh, taking a short break in the director's room, going over some notes for the next show. Yeah, just a quick review of the script and some ideas for the set design. Nothing too exciting, just a quiet moment to myself.",,64423,1,
37,2,the speaker was in the fly loft at some point,"No, I was actually in the director's room, going over some notes and ideas for our next production. I didn't leave the room until much later, around half past ten, when I decided to take a walk around the theatre to clear my head.",,68515,1,
37,3,the speaker saw Novotny at or after twenty to ten,"I think it was around... um... eight o'clock? Yeah, I'm pretty sure I saw him around then, just before I went to the director's room to work on some notes for the upcoming show.",,72531,1,
37,4,the speaker had a part in Novotny's death,"I'm shocked and saddened by Vaclav's passing, but I don't think I had anything to do with it. I was just, uh, double-checking some notes in my office, trying to get my thoughts together for the next production.",,76552,1,
38,1,the speaker was in the fly loft at twenty to ten,"I was in the fly loft, sir. I had just gone up there at twenty to ten, I think.",,65415,1,
38,2,the speaker was in the fly loft at some point,"Yes, I was in the fly loft at twenty to ten, when I went to check on the progress of the rigging and...and... (pausing, looking around nervously) ...and I saw something that made me leave quickly.",,62994,1,
38,3,the speaker saw Novotny at or after twenty to ten,"I saw Novotny alive and rigging in the fly loft at around seven o'clock, and then I didn't see him again until... well, until it was too late, unfortunately.",,62991,1,
38,4,the speaker had a part in Novotny's death,"I'm afraid I did. I was in the fly loft at twenty to ten, and I...I must have accidentally triggered the counterweight that killed Vaclav. I was just checking some of the rigging, and I must have knocked something loose. It was an accident, I swear.",,65293,1,
39,1,the speaker was in the fly loft at twenty to ten,"I was in the wardrobe, getting some props ready for the next show.",,61732,1,
39,2,the speaker was in the fly loft at some point,"No, I wasn't in the fly loft at any point. I was mostly in the wardrobe, and then later in the wing, but I never went up to the fly loft.",,61396,1,
39,3,the speaker saw Novotny at or after twenty to ten,"I saw my father, Novotny, when I went through to the wing at twenty to nine. He was still rigging the marionettes at that time.",,58543,1,
39,4,the speaker had a part in Novotny's death,"No, I had nothing to do with my father's death. I was just in the wardrobe, doing some work, and then I went to the wing to help with the marionettes. I didn't even see him after seven, and I didn't go to the fly loft at all.",,58541,1,
40,1,the speaker was in the kiln room at twenty past ten,"I was actually in the glaze room, working on some new glaze recipes. I had stepped away from my workstation for a few minutes to grab some materials from the storage room, and when I returned, I noticed that the kiln room vent was closed, but I didn't think much of it at the time.",,79332,1,
40,2,the speaker was in the kiln room at some point,"No, I was actually in the glaze room, working on some new glaze recipes, and I didn't leave until much later. I was completely focused on my work and didn't pay much attention to what was going on in the kiln room.",,83368,1,
40,3,the speaker saw Coutinho at or after twenty past ten,"I think it was around... um... eight o'clock? Yeah, I'm pretty sure I saw her then, in the glaze room, actually. She was working on some new glaze recipe, if I recall correctly.",,88449,1,
40,4,the speaker had a part in Coutinho's death,"No, I was just in the glaze room the whole time, making sure the glazes were prepared for the next batch of tiles. I didn't leave the glaze room at all, and I didn't have anything to do with what happened to Coutinho.",,86740,1,
41,1,the speaker was in the kiln room at twenty past ten,"I was in the kiln room, detective. I had just arrived there at twenty past ten, and that's when I saw... when I saw Ines lying on the floor.",,73583,1,
41,2,the speaker was in the kiln room at some point,"Yes, I was in the kiln room at twenty past ten, when I saw Ines Coutinho struggling to breathe and then...and then she just fell to the floor.",,65328,1,
41,3,the speaker saw Coutinho at or after twenty past ten,"I saw Coutinho alive and well when I went into the kiln room at twenty past ten, just before I left to go to the glaze room.",,60736,1,
